Instance,Algo,InitCost,FinalCost
chr12a,G,28390,16532
chr12a,S,42278,12104
chr12a,G,39430,13264
chr12a,S,43406,19138
chr12a,G,58284,17222
chr12a,S,48772,10096
chr12a,G,46308,21266
chr12a,S,50696,15748
chr12a,G,58952,11418
chr12a,S,44754,14090
chr12a,G,27644,13612
chr12a,S,39122,11014
chr12a,G,42334,14934
chr12a,S,52812,17462
chr12a,G,33776,15688
chr12a,S,52680,14292
chr12a,G,41072,11514
chr12a,S,49210,16096
chr12a,G,34220,15222
chr12a,S,38762,12472
chr12a,G,47622,17126
chr12a,S,53716,11010
chr12a,G,47638,17726
chr12a,S,57758,11688
chr12a,G,53948,13844
chr12a,S,49378,11558
chr12a,G,47540,15372
chr12a,S,53288,11668
chr12a,G,46728,17024
chr12a,S,40652,14272
chr12a,G,61004,14530
chr12a,S,37182,15010
chr12a,G,35328,11722
chr12a,S,50530,15714
chr12a,G,44644,17490
chr12a,S,39186,12560
chr12a,G,51954,16272
chr12a,S,52448,14926
chr12a,G,56672,17774
chr12a,S,59996,11636
chr12a,G,30460,11558
chr12a,S,38892,11668
chr12a,G,49274,18424
chr12a,S,50784,16516
chr12a,G,46790,17476
chr12a,S,37760,11248
chr12a,G,49226,13476
chr12a,S,76200,14210
chr12a,G,35760,14266
chr12a,S,48006,11864
chr12a,G,37518,12246
chr12a,S,50002,10804
chr12a,G,50096,14644
chr12a,S,47988,17076
chr12a,G,33950,15320
chr12a,S,50724,9552
chr12a,G,49084,18496
chr12a,S,33784,13624
chr12a,G,48874,13034
chr12a,S,41568,18824
chr12a,G,36630,17294
chr12a,S,50474,11010
chr12a,G,54598,12952
chr12a,S,57604,17210
chr12a,G,36956,17002
chr12a,S,49244,19054
chr12a,G,39924,10506
chr12a,S,54606,12156
chr12a,G,42970,12062
chr12a,S,42570,14658
chr12a,G,32876,16560
chr12a,S,24486,13822
chr12a,G,53798,11668
chr12a,S,55040,15956
chr12a,G,47070,12776
chr12a,S,49504,14424
chr12a,G,55414,12050
chr12a,S,62398,16682
chr12a,G,61122,16976
chr12a,S,38194,10506
chr12a,G,43664,17838
chr12a,S,46024,19924
chr12a,G,50864,11198
chr12a,S,30122,15978
chr12a,G,44754,12548
chr12a,S,27632,16728
chr12a,G,38946,14670
chr12a,S,38306,12174
chr12a,G,53224,10476
chr12a,S,25996,10804
chr12a,G,54800,12050
chr12a,S,40618,15238
chr12a,G,43112,12392
chr12a,S,48552,20392
chr12a,G,38580,13604
chr12a,S,54644,15406
chr12a,G,41692,12174
chr12a,S,38366,11946
chr12a,G,53630,14288
chr12a,S,34862,14106
chr12a,G,35630,13296
chr12a,S,51280,11558
chr12a,G,48288,16484
chr12a,S,41616,15072
chr12a,G,29124,15956
chr12a,S,51784,13902
chr12a,G,32762,13448
chr12a,S,50876,11418
chr12a,G,44080,11418
chr12a,S,31398,13454
chr12a,G,46860,17504
chr12a,S,52598,14782
chr12a,G,43618,15930
chr12a,S,35386,17718
chr12a,G,52778,14608
chr12a,S,35730,13380
chr12a,G,53178,12986
chr12a,S,40844,15010
chr12a,G,50436,13898
chr12a,S,50268,14106
chr12a,G,42346,12284
chr12a,S,37710,15932
chr12a,G,50954,11498
chr12a,S,51036,20936
chr12a,G,38682,12174
chr12a,S,60764,14424
chr12a,G,49580,16040
chr12a,S,55692,10506
chr12a,G,50698,14942
chr12a,S,43874,10782
chr12a,G,64490,22770
chr12a,S,34830,11498
chr12a,G,46708,12392
chr12a,S,35604,14236
chr12a,G,58584,15110
chr12a,S,32858,11418
chr12a,G,45928,13476
chr12a,S,50284,11248
chr12a,G,73624,15324
chr12a,S,45570,11838
chr12a,G,45992,12882
chr12a,S,54480,21404
chr12a,G,52802,18022
chr12a,S,35598,13798
chr12a,G,49734,18068
chr12a,S,52478,10688
chr12a,G,52030,12444
chr12a,S,53334,11370
chr12a,G,60454,10804
chr12a,S,46812,17162
chr12a,G,37872,10580
chr12a,S,32482,10096
chr12a,G,37388,18296
chr12a,S,36808,13778
chr12a,G,48882,12208
chr12a,S,49284,10688
chr12a,G,41372,16930
chr12a,S,47150,11754
chr12a,G,42922,17984
chr12a,S,36830,14106
chr12a,G,48660,18244
chr12a,S,33728,12246
chr12a,G,52020,13156
chr12a,S,38524,15110
chr12a,G,55310,12860
chr12a,S,63076,12008
chr12a,G,51358,12294
chr12a,S,43068,12062
chr12a,G,29116,19540
chr12a,S,51092,10624
chr12a,G,35370,17540
chr12a,S,37170,10804
chr12a,G,49734,13264
chr12a,S,40834,13372
chr12a,G,52784,17296
chr12a,S,32076,14158
chr12a,G,45612,14210
chr12a,S,45818,10096
chr12a,G,37572,14090
chr12a,S,59134,13526
chr12a,G,41420,13604
chr12a,S,50054,14762
chr12a,G,46970,16582
chr12a,S,49022,15688
chr12a,G,55124,11838
chr12a,S,46306,16804
chr12a,G,46040,12174
chr12a,S,43122,9552
chr12a,G,52830,18416
chr12a,S,52422,12246
chr12a,G,44140,13430
chr12a,S,45592,12974
chr12a,G,51818,16152
chr12a,S,53340,15572
chr12a,G,50930,16276
chr12a,S,52936,12284
chr12a,G,49626,16022
chr12a,S,49784,17654
chr12a,G,45104,12560
chr12a,S,47432,12076
chr12a,G,41584,16440
chr12a,S,45282,16888
chr12a,G,45324,18624
chr12a,S,39174,11992
chr12a,G,43346,16916
chr12a,S,46054,13242
chr12a,G,51310,17520
chr12a,S,42860,11556
chr12a,G,42638,12492
chr12a,S,37726,12174
chr12a,G,55028,12294
chr12a,S,45108,15822
chr12a,G,35686,10782
chr12a,S,35440,18762
chr12a,G,30854,18308
chr12a,S,49710,15596
chr12a,G,38224,13438
chr12a,S,51992,14258
chr12a,G,44076,16954
chr12a,S,42010,13316
chr12a,G,52376,17362
chr12a,S,43374,14424
chr12a,G,62934,11556
chr12a,S,50584,12246
chr12a,G,30566,24068
chr12a,S,22582,16510
chr12a,G,49130,11498
chr12a,S,35486,14598
chr12a,G,38490,12370
chr12a,S,45368,9916
chr12a,G,50934,12842
chr12a,S,53400,12130
chr12a,G,33126,19414
chr12a,S,52166,15044
chr12a,G,47566,11216
chr12a,S,58390,10192
chr12a,G,33926,17676
chr12a,S,49596,11926
chr12a,G,28994,14816
chr12a,S,36360,11592
chr12a,G,43938,16594
chr12a,S,45302,16856
chr12a,G,60338,11248
chr12a,S,32392,15362
chr12a,G,28904,12234
chr12a,S,41514,15216
chr12a,G,35786,13138
chr12a,S,47972,12284
chr12a,G,61236,12968
chr12a,S,47904,15622
chr12a,G,52522,17084
chr12a,S,45742,15280
chr12a,G,61254,12370
chr12a,S,35006,16920
chr12a,G,35898,12284
chr12a,S,43146,17284
chr12a,G,44826,17192
chr12a,S,36648,16152
chr12a,G,28304,12444
chr12a,S,40796,11876
chr12a,G,41930,17590
chr12a,S,50416,14658
chr12a,G,39374,12860
chr12a,S,30616,11374
chr12a,G,42302,13076
chr12a,S,50362,19858
chr12a,G,47780,15828
chr12a,S,44166,20054
chr12a,G,42112,11198
chr12a,S,31940,17370
chr12a,G,58034,16652
chr12a,S,52676,13390
chr12a,G,68522,11556
chr12a,S,47880,18908
chr12a,G,49522,21344
chr12a,S,32672,10804
chr12a,G,52522,18926
chr12a,S,36416,11418
chr12a,G,31412,12392
chr12a,S,49228,11418
chr12a,G,40918,16186
chr12a,S,50320,12986
chr12a,G,36822,13238
chr12a,S,36574,12190
chr12a,G,42280,10214
chr12a,S,43372,12174
chr12a,G,38080,14934
chr12a,S,53580,11944
chr12a,G,50774,11852
chr12a,S,51282,11592
chr12a,G,53104,12304
chr12a,S,44690,13726
chr12a,G,50790,10096
chr12a,S,46794,12486
chr12a,G,55234,12934
chr12a,S,48812,14746
chr12a,G,36574,12310
chr12a,S,41194,17726
chr12a,G,38244,16560
chr12a,S,65452,12776
