Instance,QualityGap,SimToOpt,SimToOther
chr15a,-100.0101,0.0667,0.1111
chr15a,-100.0101,0.0667,0.0923
chr15a,-100.0101,0.0667,0.1071
chr15a,-100.0101,0.1333,0.1259
chr15a,-100.0101,0.1333,0.1165
chr15a,-100.0101,0.0667,0.1138
chr15a,-100.0101,0.0667,0.0929
chr15a,-100.0101,0.0000,0.0956
chr15a,-100.0101,0.0667,0.0842
chr15a,-100.0101,0.1333,0.1192
chr15a,-100.0101,0.0667,0.1118
chr15a,-100.0101,0.2000,0.0620
chr15a,-100.0101,0.0667,0.1037
chr15a,-100.0101,0.2000,0.1178
chr15a,-100.0101,0.0667,0.0909
chr15a,-100.0101,0.1333,0.0970
chr15a,-100.0101,0.0000,0.1091
chr15a,-100.0101,0.0667,0.1266
chr15a,-100.0101,0.2000,0.1064
chr15a,-100.0101,0.1333,0.0936
chr15a,-100.0101,0.1333,0.1165
chr15a,-100.0101,0.0000,0.0855
chr15a,-100.0101,0.0667,0.0997
chr15a,-100.0101,0.0000,0.0882
chr15a,-100.0101,0.2000,0.1125
chr15a,-100.0101,0.0000,0.0949
chr15a,-100.0101,0.1333,0.1118
chr15a,-100.0101,0.0000,0.0936
chr15a,-100.0101,0.2000,0.1152
chr15a,-100.0101,0.0000,0.0613
chr15a,-100.0101,0.2000,0.0835
chr15a,-100.0101,0.0667,0.1077
chr15a,-100.0101,0.0000,0.0875
chr15a,-100.0101,0.0667,0.1354
chr15a,-100.0101,0.0000,0.0990
chr15a,-100.0101,0.2000,0.1091
chr15a,-100.0101,0.0667,0.0929
chr15a,-100.0101,0.0000,0.0774
chr15a,-100.0101,0.0667,0.1091
chr15a,-100.0101,0.2667,0.0943
chr15a,-100.0101,0.0000,0.1165
chr15a,-100.0101,0.2000,0.0747
chr15a,-100.0101,0.0667,0.0882
chr15a,-100.0101,0.0000,0.0875
chr15a,-100.0101,0.2000,0.1057
chr15a,-100.0101,0.0667,0.0990
chr15a,-100.0101,0.1333,0.1091
chr15a,-100.0101,0.1333,0.1246
chr15a,-100.0101,0.0000,0.1219
chr15a,-100.0101,0.2667,0.1131
chr15a,-100.0101,0.2000,0.0929
chr15a,-100.0101,0.0000,0.1030
chr15a,-100.0101,0.1333,0.1003
chr15a,-100.0101,0.0000,0.1118
chr15a,-100.0101,0.2000,0.1071
chr15a,-100.0101,0.1333,0.0761
chr15a,-100.0101,0.4000,0.0943
chr15a,-100.0101,0.1333,0.1273
chr15a,-100.0101,0.0667,0.1064
chr15a,-100.0101,0.1333,0.0653
chr15a,-100.0101,0.1333,0.0990
chr15a,-100.0101,0.2667,0.0990
chr15a,-100.0101,0.0667,0.0943
chr15a,-100.0101,0.1333,0.0902
chr15a,-100.0101,0.0667,0.1145
chr15a,-100.0101,0.0667,0.0754
chr15a,-100.0101,0.1333,0.1030
chr15a,-100.0101,0.0667,0.1226
nug12,-100.1730,0.0000,0.1271
nug12,-100.1730,0.4167,0.1338
nug12,-100.1730,0.1667,0.1507
nug12,-100.1730,0.1667,0.0800
nug12,-100.1730,0.0833,0.1507
nug12,-100.1730,0.0000,0.1145
nug12,-100.1730,0.0000,0.1061
nug12,-100.1730,0.1667,0.0791
nug12,-100.1730,0.0833,0.1002
nug12,-100.1730,0.0833,0.1086
nug12,-100.1730,0.0833,0.0985
nug12,-100.1730,0.0833,0.1423
nug12,-100.1730,0.0000,0.1380
nug12,-100.1730,0.1667,0.1431
nug12,-100.1730,0.3333,0.1187
nug12,-100.1730,0.0833,0.0690
nug12,-100.1730,0.0000,0.0766
nug12,-100.1730,0.0000,0.1397
nug12,-100.1730,0.0000,0.0816
nug12,-100.1730,0.0000,0.1380
nug12,-100.1730,0.0833,0.1111
nug12,-100.1730,0.1667,0.1111
nug12,-100.1730,0.0833,0.0892
nug12,-100.1730,0.0833,0.1086
nug12,-100.1730,0.0000,0.0976
nug12,-100.1730,0.1667,0.1540
nug12,-100.1730,0.0000,0.1423
nug12,-100.1730,0.0833,0.1465
nug12,-100.1730,0.0000,0.0808
nug12,-100.1730,0.2500,0.0850
nug12,-100.1730,1.0000,0.1111
nug12,-100.1730,0.0833,0.1187
nug12,-100.1730,0.0000,0.1524
nug12,-100.1730,0.0833,0.1178
nug12,-100.1730,0.3333,0.1086
nug12,-100.1730,0.0000,0.1498
nug12,-100.1730,0.0833,0.0606
nug12,-100.1730,0.2500,0.1187
nug12,-100.1730,0.0833,0.1414
nug12,-100.1730,0.0833,0.1128
nug12,-100.1730,0.0000,0.0918
nug12,-100.1730,0.0833,0.1414
nug12,-100.1730,0.0000,0.1077
nug12,-100.1730,0.1667,0.1557
nug12,-100.1730,0.0833,0.1490
nug12,-100.1730,0.2500,0.1406
nug12,-100.1730,0.1667,0.1540
nug12,-100.1730,0.2500,0.0850
nug12,-100.1730,0.1667,0.1061
nug12,-100.1730,0.1667,0.1414
nug12,-100.1730,0.0833,0.0791
nug12,-100.1730,0.1667,0.1279
nug12,-100.1730,0.0833,0.1254
nug12,-100.1730,0.0833,0.0909
nug12,-100.1730,0.0000,0.0741
nug12,-100.1730,0.0000,0.1229
nug12,-100.1730,0.1667,0.1111
nug12,-100.1730,0.3333,0.1162
nug12,-100.1730,0.3333,0.1296
nug12,-100.1730,0.1667,0.1557
nug12,-100.1730,0.3333,0.1035
nug12,-100.1730,0.0000,0.1465
nug12,-100.1730,0.0833,0.1507
nug12,-100.1730,0.0833,0.1313
nug12,-100.1730,0.1667,0.1254
nug12,-100.1730,0.3333,0.1136
nug12,-100.1730,0.0000,0.0993
nug12,-100.1730,0.1667,0.1061
nug12,-100.1730,0.0000,0.0724
nug12,-100.1730,0.0000,0.1414
