Instance,Run,Algo,InitCost,FinalCost
chr12a,105,S,53148,12836
chr12a,106,G,46002,12974
chr12a,106,S,37312,15280
chr12a,107,G,45382,18274
chr12a,107,S,53072,12062
chr12a,108,G,42438,11216
chr12a,108,S,27824,12300
chr12a,109,G,37068,11754
chr12a,109,S,40326,18076
chr12a,110,G,35350,14388
chr12a,110,S,60226,12820
chr12a,111,G,38582,12300
chr12a,111,S,37968,14990
chr12a,112,G,50588,16852
chr12a,112,S,44430,12472
chr12a,113,G,41524,17722
chr12a,113,S,44784,14986
chr12a,114,G,35148,11558
chr12a,114,S,46234,13798
chr12a,115,G,46844,14934
chr12a,115,S,60844,11248
chr12a,116,G,37530,13692
chr12a,116,S,43322,12370
chr12a,117,G,48046,14440
chr12a,117,S,39060,18626
chr12a,118,G,56782,10506
chr12a,118,S,44762,15372
chr12a,119,G,30758,16152
chr12a,119,S,44410,15500
chr12a,120,G,53514,20568
chr12a,120,S,41322,10096
chr12a,121,G,42602,12300
chr12a,121,S,60438,12190
chr12a,122,G,28390,16532
chr12a,122,S,42278,12104
chr12a,123,G,39430,13264
chr12a,123,S,43406,19138
chr12a,124,G,58284,17222
chr12a,124,S,48772,10096
chr12a,125,G,46308,21266
chr12a,125,S,50696,15748
chr12a,126,G,58952,11418
chr12a,126,S,44754,14090
chr12a,127,G,27644,13612
chr12a,127,S,39122,11014
chr12a,128,G,42334,14934
chr12a,128,S,52812,17462
chr12a,129,G,33776,15688
chr12a,129,S,52680,14292
chr12a,130,G,41072,11514
chr12a,130,S,49210,16096
chr12a,131,G,34220,15222
chr12a,131,S,38762,12472
chr12a,132,G,47622,17126
chr12a,132,S,53716,11010
chr12a,133,G,47638,17726
chr12a,133,S,57758,11688
chr12a,134,G,53948,13844
chr12a,134,S,49378,11558
chr12a,135,G,47540,15372
chr12a,135,S,53288,11668
chr12a,136,G,46728,17024
chr12a,136,S,40652,14272
chr12a,137,G,61004,14530
chr12a,137,S,37182,15010
chr12a,138,G,35328,11722
chr12a,138,S,50530,15714
chr12a,139,G,44644,17490
chr12a,139,S,39186,12560
chr12a,140,G,51954,16272
chr12a,140,S,52448,14926
chr12a,141,G,56672,17774
chr12a,141,S,59996,11636
chr12a,142,G,30460,11558
chr12a,142,S,38892,11668
chr12a,143,G,49274,18424
chr12a,143,S,50784,16516
chr12a,144,G,46790,17476
chr12a,144,S,37760,11248
chr12a,145,G,49226,13476
chr12a,145,S,76200,14210
chr12a,146,G,35760,14266
chr12a,146,S,48006,11864
chr12a,147,G,37518,12246
chr12a,147,S,50002,10804
chr12a,148,G,50096,14644
chr12a,148,S,47988,17076
chr12a,149,G,33950,15320
chr12a,149,S,50724,9552
chr12a,150,G,49084,18496
chr12a,150,S,33784,13624
chr12a,151,G,48874,13034
chr12a,151,S,41568,18824
chr12a,152,G,36630,17294
chr12a,152,S,50474,11010
chr12a,153,G,54598,12952
chr12a,153,S,57604,17210
chr12a,154,G,36956,17002
chr12a,154,S,49244,19054
chr12a,155,G,39924,10506
chr12a,155,S,54606,12156
chr12a,156,G,42970,12062
chr12a,156,S,42570,14658
chr12a,157,G,32876,16560
chr12a,157,S,24486,13822
chr12a,158,G,53798,11668
chr12a,158,S,55040,15956
chr12a,159,G,47070,12776
chr12a,159,S,49504,14424
chr12a,160,G,55414,12050
chr12a,160,S,62398,16682
chr12a,161,G,61122,16976
chr12a,161,S,38194,10506
chr12a,162,G,43664,17838
chr12a,162,S,46024,19924
chr12a,163,G,50864,11198
chr12a,163,S,30122,15978
chr12a,164,G,44754,12548
chr12a,164,S,27632,16728
chr12a,165,G,38946,14670
chr12a,165,S,38306,12174
chr12a,166,G,53224,10476
chr12a,166,S,25996,10804
chr12a,167,G,54800,12050
chr12a,167,S,40618,15238
chr12a,168,G,43112,12392
chr12a,168,S,48552,20392
chr12a,169,G,38580,13604
chr12a,169,S,54644,15406
chr12a,170,G,41692,12174
chr12a,170,S,38366,11946
chr12a,171,G,53630,14288
chr12a,171,S,34862,14106
chr12a,172,G,35630,13296
chr12a,172,S,51280,11558
chr12a,173,G,48288,16484
chr12a,173,S,41616,15072
chr12a,174,G,29124,15956
chr12a,174,S,51784,13902
chr12a,175,G,32762,13448
chr12a,175,S,50876,11418
chr12a,176,G,44080,11418
chr12a,176,S,31398,13454
chr12a,177,G,46860,17504
chr12a,177,S,52598,14782
chr12a,178,G,43618,15930
chr12a,178,S,35386,17718
chr12a,179,G,52778,14608
chr12a,179,S,35730,13380
chr12a,180,G,53178,12986
chr12a,180,S,40844,15010
chr12a,181,G,50436,13898
chr12a,181,S,50268,14106
chr12a,182,G,42346,12284
chr12a,182,S,37710,15932
chr12a,183,G,50954,11498
chr12a,183,S,51036,20936
chr12a,184,G,38682,12174
chr12a,184,S,60764,14424
chr12a,185,G,49580,16040
chr12a,185,S,55692,10506
chr12a,186,G,50698,14942
chr12a,186,S,43874,10782
chr12a,187,G,64490,22770
chr12a,187,S,34830,11498
chr12a,188,G,46708,12392
chr12a,188,S,35604,14236
chr12a,189,G,58584,15110
chr12a,189,S,32858,11418
chr12a,190,G,45928,13476
chr12a,190,S,50284,11248
chr12a,191,G,73624,15324
chr12a,191,S,45570,11838
chr12a,192,G,45992,12882
chr12a,192,S,54480,21404
chr12a,193,G,52802,18022
chr12a,193,S,35598,13798
chr12a,194,G,49734,18068
chr12a,194,S,52478,10688
chr12a,195,G,52030,12444
chr12a,195,S,53334,11370
chr12a,196,G,60454,10804
chr12a,196,S,46812,17162
chr12a,197,G,37872,10580
chr12a,197,S,32482,10096
chr12a,198,G,37388,18296
chr12a,198,S,36808,13778
chr12a,199,G,48882,12208
chr12a,199,S,49284,10688
chr12a,200,G,41372,16930
chr12a,200,S,47150,11754
chr12a,201,G,42922,17984
chr12a,201,S,36830,14106
chr12a,202,G,48660,18244
chr12a,202,S,33728,12246
chr12a,203,G,52020,13156
chr12a,203,S,38524,15110
chr12a,204,G,55310,12860
chr12a,204,S,63076,12008
chr12a,205,G,51358,12294
chr12a,205,S,43068,12062
chr12a,206,G,29116,19540
chr12a,206,S,51092,10624
chr12a,207,G,35370,17540
chr12a,207,S,37170,10804
chr12a,208,G,49734,13264
chr12a,208,S,40834,13372
chr12a,209,G,52784,17296
chr12a,209,S,32076,14158
chr12a,210,G,45612,14210
chr12a,210,S,45818,10096
chr12a,211,G,37572,14090
chr12a,211,S,59134,13526
chr12a,212,G,41420,13604
chr12a,212,S,50054,14762
chr12a,213,G,46970,16582
chr12a,213,S,49022,15688
chr12a,214,G,55124,11838
chr12a,214,S,46306,16804
chr12a,215,G,46040,12174
chr12a,215,S,43122,9552
chr12a,216,G,52830,18416
chr12a,216,S,52422,12246
chr12a,217,G,44140,13430
chr12a,217,S,45592,12974
chr12a,218,G,51818,16152
chr12a,218,S,53340,15572
chr12a,219,G,50930,16276
chr12a,219,S,52936,12284
chr12a,220,G,49626,16022
chr12a,220,S,49784,17654
chr12a,221,G,45104,12560
chr12a,221,S,47432,12076
chr12a,222,G,41584,16440
chr12a,222,S,45282,16888
chr12a,223,G,45324,18624
chr12a,223,S,39174,11992
chr12a,224,G,43346,16916
chr12a,224,S,46054,13242
chr12a,225,G,51310,17520
chr12a,225,S,42860,11556
chr12a,226,G,42638,12492
chr12a,226,S,37726,12174
chr12a,227,G,55028,12294
chr12a,227,S,45108,15822
chr12a,228,G,35686,10782
chr12a,228,S,35440,18762
chr12a,229,G,30854,18308
chr12a,229,S,49710,15596
chr12a,230,G,38224,13438
chr12a,230,S,51992,14258
chr12a,231,G,44076,16954
chr12a,231,S,42010,13316
chr12a,232,G,52376,17362
chr12a,232,S,43374,14424
chr12a,233,G,62934,11556
chr12a,233,S,50584,12246
chr12a,234,G,30566,24068
chr12a,234,S,22582,16510
chr12a,235,G,49130,11498
chr12a,235,S,35486,14598
chr12a,236,G,38490,12370
chr12a,236,S,45368,9916
chr12a,237,G,50934,12842
chr12a,237,S,53400,12130
chr12a,238,G,33126,19414
chr12a,238,S,52166,15044
chr12a,239,G,47566,11216
chr12a,239,S,58390,10192
chr12a,240,G,33926,17676
chr12a,240,S,49596,11926
chr12a,241,G,28994,14816
chr12a,241,S,36360,11592
chr12a,242,G,43938,16594
chr12a,242,S,45302,16856
chr12a,243,G,60338,11248
chr12a,243,S,32392,15362
chr12a,244,G,28904,12234
chr12a,244,S,41514,15216
chr12a,245,G,35786,13138
chr12a,245,S,47972,12284
chr12a,246,G,61236,12968
chr12a,246,S,47904,15622
chr12a,247,G,52522,17084
chr12a,247,S,45742,15280
chr12a,248,G,61254,12370
chr12a,248,S,35006,16920
chr12a,249,G,35898,12284
chr12a,249,S,43146,17284
chr12a,250,G,44826,17192
chr12a,250,S,36648,16152
chr12a,251,G,28304,12444
chr12a,251,S,40796,11876
chr12a,252,G,41930,17590
chr12a,252,S,50416,14658
chr12a,253,G,39374,12860
chr12a,253,S,30616,11374
chr12a,254,G,42302,13076
chr12a,254,S,50362,19858
chr12a,255,G,47780,15828
chr12a,255,S,44166,20054
chr12a,256,G,42112,11198
chr12a,256,S,31940,17370
chr12a,257,G,58034,16652
chr12a,257,S,52676,13390
chr12a,258,G,68522,11556
chr12a,258,S,47880,18908
chr12a,259,G,49522,21344
chr12a,259,S,32672,10804
chr12a,260,G,52522,18926
chr12a,260,S,36416,11418
chr12a,261,G,31412,12392
chr12a,261,S,49228,11418
chr12a,262,G,40918,16186
chr12a,262,S,50320,12986
chr12a,263,G,36822,13238
chr12a,263,S,36574,12190
chr12a,264,G,42280,10214
chr12a,264,S,43372,12174
chr12a,265,G,38080,14934
chr12a,265,S,53580,11944
chr12a,266,G,50774,11852
chr12a,266,S,51282,11592
chr12a,267,G,53104,12304
chr12a,267,S,44690,13726
chr12a,268,G,50790,10096
chr12a,268,S,46794,12486
chr12a,269,G,55234,12934
chr12a,269,S,48812,14746
chr12a,270,G,36574,12310
chr12a,270,S,41194,17726
chr12a,271,G,38244,16560
chr12a,271,S,65452,12776
chr12a,272,G,46134,10214
chr12a,272,S,37966,11248
chr12a,273,G,52244,11498
chr12a,273,S,47620,12062
chr12a,274,G,48000,15972
chr12a,274,S,36704,20662
chr12a,275,G,47514,12246
chr12a,275,S,36602,10096
chr12a,276,G,49362,14280
chr12a,276,S,59476,17278
chr12a,277,G,46764,13700
chr12a,277,S,54324,10476
chr12a,278,G,31068,15632
chr12a,278,S,45394,10192
chr12a,279,G,49426,12076
chr12a,279,S,60168,12548
chr12a,280,G,44274,13348
chr12a,280,S,43688,17674
chr12a,281,G,54084,14796
chr12a,281,S,45486,14714
chr12a,282,G,45682,12444
chr12a,282,S,54774,13372
chr12a,283,G,42272,18436
chr12a,283,S,35818,10624
chr12a,284,G,38394,16494
chr12a,284,S,38238,12486
chr12a,285,G,56434,16494
chr12a,285,S,54520,16488
chr12a,286,G,45076,15956
chr12a,286,S,42816,13624
chr12a,287,G,29774,12386
chr12a,287,S,44384,11444
chr12a,288,G,61076,19084
chr12a,288,S,58662,20078
chr12a,289,G,41364,17090
chr12a,289,S,33538,13358
chr12a,290,G,63936,19002
chr12a,290,S,47684,16152
chr12a,291,G,46546,10192
chr12a,291,S,49632,13002
chr12a,292,G,58996,18068
chr12a,292,S,50028,11688
chr12a,293,G,47110,14260
chr12a,293,S,51118,13430
chr12a,294,G,52236,12294
chr12a,294,S,28170,18926
chr12a,295,G,37990,15782
chr12a,295,S,49110,14720
chr12a,296,G,31150,15912
chr12a,296,S,27612,11402
chr12a,297,G,29258,11402
chr12a,297,S,46052,16494
chr12a,298,G,47116,13068
chr12a,298,S,45114,13458
chr12a,299,G,46318,13190
chr12a,299,S,60166,11560
chr12a,300,G,45616,15972
chr12a,300,S,50040,14258
chr12a,301,G,36520,14514
chr12a,301,S,54240,14790
chr12a,302,G,51276,19692
chr12a,302,S,34696,14514
chr12a,303,G,44734,13328
chr12a,303,S,45158,10790
chr12a,304,G,50180,18308
chr12a,304,S,77382,13076
chr12a,305,G,40886,15110
chr12a,305,S,38792,13384
chr12a,306,G,39360,15014
chr12a,306,S,41362,12284
chr12a,307,G,55524,12130
chr12a,307,S,31724,18060
chr12a,308,G,19726,16302
chr12a,308,S,42860,13888
chr12a,309,G,56078,16872
chr12a,309,S,39622,17802
chr12a,310,G,42176,11374
chr12a,310,S,52214,10782
chr12a,311,G,46388,13628
chr12a,311,S,51620,10624
chr12a,312,G,39042,15204
chr12a,312,S,37082,11558
chr12a,313,G,59384,11992
chr12a,313,S,43260,12836
chr12a,314,G,62888,14316
chr12a,314,S,28290,13384
chr12a,315,G,48882,15636
chr12a,315,S,25614,16640
chr12a,316,G,48074,15320
chr12a,316,S,70634,10580
chr12a,317,G,45660,15282
chr12a,317,S,53154,12750
chr12a,318,G,37016,10688
chr12a,318,S,40294,11248
chr12a,319,G,61300,10096
chr12a,319,S,58096,14644
chr12a,320,G,31048,16834
chr12a,320,S,50850,12576
chr12a,321,G,49384,19304
chr12a,321,S,43448,12776
chr12a,322,G,39394,12816
chr12a,322,S,34788,13052
chr12a,323,G,37772,14106
chr12a,323,S,41436,13486
chr12a,324,G,46370,11010
chr12a,324,S,46776,15896
chr12a,325,G,43382,14876
chr12a,325,S,53838,12490
chr12a,326,G,54366,14316
chr12a,326,S,39230,12334
chr12a,327,G,39312,10096
chr12a,327,S,29280,13278
chr12a,328,G,63972,14106
chr12a,328,S,48248,17660
chr12a,329,G,49540,10476
chr12a,329,S,42080,15930
chr12a,330,G,36636,13076
chr12a,330,S,34416,14214
chr12a,331,G,49552,17520
chr12a,331,S,41610,11560
chr12a,332,G,57122,16712
chr12a,332,S,37240,13322
chr12a,333,G,49202,12294
chr12a,333,S,49394,13458
chr12a,334,G,34528,13476
chr12a,334,S,40458,14642
chr12a,335,G,48796,17504
chr12a,335,S,38886,16362
chr12a,336,G,40892,14258
chr12a,336,S,52180,16570
chr12a,337,G,30898,14002
chr12a,337,S,36756,12270
chr12a,338,G,52176,11374
chr12a,338,S,41710,17674
chr12a,339,G,56030,12062
chr12a,339,S,44130,11248
chr12a,340,G,55006,16258
chr12a,340,S,33758,16174
chr12a,341,G,55026,11596
chr12a,341,S,52154,14558
chr12a,342,G,44284,14658
chr12a,342,S,70062,14468
chr12a,343,G,40128,13302
chr12a,343,S,40484,12216
chr12a,344,G,43734,11646
chr12a,344,S,36442,11488
chr12a,345,G,58230,11992
chr12a,345,S,55236,20146
chr12a,346,G,45184,17438
chr12a,346,S,39466,12738
chr12a,347,G,58996,12734
chr12a,347,S,46586,16682
chr12a,348,G,47430,16538
chr12a,348,S,54002,14836
chr12a,349,G,50928,12174
chr12a,349,S,53268,13140
chr12a,350,G,44824,11458
chr12a,350,S,50970,13238
chr12a,351,G,48000,21898
chr12a,351,S,46312,11592
chr12a,352,G,51252,15800
chr12a,352,S,39692,11418
chr12a,353,G,44730,19684
chr12a,353,S,40608,20078
chr12a,354,G,34534,13486
chr12a,354,S,31750,19742
chr12a,355,G,54694,17206
chr12a,355,S,35242,10214
chr12a,356,G,62516,16302
chr12a,356,S,54736,14720
chr12a,357,G,35250,21224
chr12a,357,S,43728,13156
chr12a,358,G,52760,19546
chr12a,358,S,42386,10096
chr12a,359,G,25920,14440
chr12a,359,S,49908,18252
chr12a,360,G,38084,16934
chr12a,360,S,39980,12190
chr12a,361,G,37440,11838
chr12a,361,S,42250,12444
chr12a,362,G,28410,16702
chr12a,362,S,41352,10214
chr12a,363,G,41764,17430
chr12a,363,S,26258,10096
chr12a,364,G,36630,11646
chr12a,364,S,36530,18816
chr12a,365,G,46530,12008
chr12a,365,S,42958,15178
chr12a,366,G,55720,13348
chr12a,366,S,40780,13352
chr12a,367,G,35166,12314
chr12a,367,S,63710,17784
chr12a,368,G,47326,12062
chr12a,368,S,22510,11418
chr12a,369,G,33826,18816
chr12a,369,S,40816,12860
chr12a,370,G,45574,19352
chr12a,370,S,37070,12216
chr12a,371,G,27122,14934
chr12a,371,S,49060,11636
chr12a,372,G,53966,17976
chr12a,372,S,35542,10624
chr12a,373,G,60422,12816
chr12a,373,S,49296,11302
chr12a,374,G,25952,12130
chr12a,374,S,30386,14784
chr12a,375,G,38246,16040
chr12a,375,S,41608,20376
chr12a,376,G,44436,9552
chr12a,376,S,45832,12300
chr12a,377,G,44730,12300
chr12a,377,S,46844,13356
chr12a,378,G,50386,10476
chr12a,378,S,34480,13680
chr12a,379,G,36364,13298
chr12a,379,S,41302,11560
chr12a,380,G,20276,17178
chr12a,380,S,49174,11864
chr12a,381,G,48616,17462
chr12a,381,S,45492,16930
chr12a,382,G,53932,19068
chr12a,382,S,48668,13336
chr12a,383,G,39688,11852
chr12a,383,S,35778,13390
chr12a,384,G,41018,11248
chr12a,384,S,38904,19760
chr12a,385,G,52734,11646
chr12a,385,S,46118,12190
chr12a,386,G,56126,20530
chr12a,386,S,38754,14440
chr12a,387,G,41992,11908
chr12a,387,S,39256,12174
chr12a,388,G,48488,12062
chr12a,388,S,38998,11418
chr12a,389,G,50334,14132
chr12a,389,S,38802,16532
chr12a,390,G,46082,12548
chr12a,390,S,30174,12208
chr12a,391,G,50684,11248
chr12a,391,S,45230,15834
chr12a,392,G,53118,14914
chr12a,392,S,37102,11198
chr12a,393,G,41954,17924
chr12a,393,S,23036,15930
chr12a,394,G,43534,14762
chr12a,394,S,44018,13798
chr12a,395,G,43080,13604
chr12a,395,S,59120,15918
chr12a,396,G,47970,11374
chr12a,396,S,39592,10506
chr12a,397,G,44146,17018
chr12a,397,S,51904,16272
chr12a,398,G,52432,19214
chr12a,398,S,51894,16666
chr12a,399,G,45102,18246
chr12a,399,S,50820,13680
chr15a,0,G,65286,17678
chr15a,0,S,72450,11774
chr15a,1,G,60394,12718
chr15a,1,S,80006,13922
chr15a,2,G,51186,14430
chr15a,2,S,52946,17178
chr15a,3,G,59192,14220
chr15a,3,S,66916,15842
chr15a,4,G,69502,17772
chr15a,4,S,63952,13918
chr15a,5,G,61908,15666
chr15a,5,S,71834,18110
chr15a,6,G,53182,16292
chr15a,6,S,52710,13060
chr15a,7,G,68876,14604
chr15a,7,S,66606,19616
chr15a,8,G,58902,11742
chr15a,8,S,55696,12898
chr15a,9,G,65166,15966
chr15a,9,S,58688,14320
chr15a,10,G,82346,18136
chr15a,10,S,66892,15176
chr15a,11,G,67766,14122
chr15a,11,S,68600,15970
chr15a,12,G,68026,14652
chr15a,12,S,35490,15372
chr15a,13,G,82612,18032
chr15a,13,S,55970,15526
chr15a,14,G,58948,16212
chr15a,14,S,52964,13234
chr15a,15,G,70072,15390
chr15a,15,S,53182,16300
chr15a,16,G,79686,17274
